strahler_order,n_compartments,radius_mean_um,radius_min_um,radius_max_um,total_length_um,total_surface_area_um2,total_axial_resistance_ohm,source
1,3915,0.125,0.125,0.125,863.2783670388229,678.0172439730397,17586562480.45161,placeholder
2,1574,0.125,0.125,0.125,360.30434239304304,282.98236877962137,7340059789.993926,placeholder
3,900,0.125,0.125,0.125,211.71843132886465,166.28326712307907,4313092465.875303,placeholder
4,295,0.125,0.125,0.125,93.0623773528606,73.091020254337,1895851183.5636501,placeholder
5,33,0.125,0.125,0.125,7.890272619641565,6.197005624171658,160739313.88909996,placeholder
1,3915,0.439453,0.439453,0.439453,863.2783670388229,2383.653695325474,1422905696.782381,calibrated
2,1574,1.652908,1.652908,1.652908,360.30434239304304,3741.9505697182917,41978049.98124759,calibrated
3,900,1.652908,1.652908,1.652908,211.71843132886465,2198.8075399509953,24666721.56445823,calibrated
4,295,1.652908,1.652908,1.652908,93.0623773528606,966.5018568524453,10842436.985204471,calibrated
5,33,3.694062,3.694062,3.694062,7.890272619641565,183.13698392031046,184049.13292426022,calibrated
