candidate_id,source_url,authors,year,simulator,has_public_code,runnable_guess,priority,port_attempt_status,port_failure_phase,port_failure_reason,library_asset_slug,tuning_curve_csv_path,notes
hanson_2019_spatial_offset,https://github.com/geoffder/Spatial-Offset-DSGC-NEURON-Model,"Hanson, deRosenroll, Sethuramanujam, Awatramani",2019,NEURON + Python,yes,yes,high,p2_failed,p2_demo,"Repo @ commit f7688f8. MOD files (Exp2NMDA.mod, HHst.mod) compile cleanly on NEURON 8.2.7 and a minimal headless HOC-only build passes (DSGC template instantiates with 282/350 ON-dendrites; passive integration holds -60 mV over 50 ms). However, the upstream driver offsetDSGC.py (1609 lines, no __main__ block, top-level ``from neuron import h, gui`` that fails under headless nrngui.hoc resolution, hardcoded paths ``C:\\Users\\geoff\\NEURONoutput\\``) cannot be imported headlessly, and its stimulus/DS protocol lives entirely in Python-side setSoma/membSetup/setSyn/barOnsets/dirRun. Reimplementing that protocol from scratch exceeds the 90-minute per-candidate budget; per the plan's P2 gate ``upstream demo runs headless without Python exceptions``, this candidate is recorded as p2_failed (upstream has no runnable headless demo).",,,"P1 clone + MOD compile + minimal HOC cell-build gate passed; P2 ``upstream demo runs headless`` gate failed per upstream design (interactive Python driver, no headless demo entry). Library asset deleted per ``never force a broken library`` rule. Candidate deferred as a suggestion for a dedicated hand-port task."
derosenroll_2026_circuit_ei,https://github.com/geoffder/ds-circuit-ei-microarchitecture,"deRosenroll, Sethuramanujam, Awatramani",2026,NEURON + Python,"yes (MIT, Zenodo 10.5281/zenodo.17666157)",maybe,high,p2_failed,p2_demo,"Repo @ commit a23f642 (GitHub HEAD; Zenodo 10.5281/zenodo.17666157 corresponds to the paper's tagged release). MIT LICENSE confirmed. Structural incompatibility: ei_balance.Model hardcodes an 8-direction stimulus grid (``self.dir_labels = np.array([225, 270, 315, 0, 45, 90, 135, 180])``, ``self.dirs = [135, 90, 45, 0, 45, 90, 135, 180]``) which cannot emit the t0012-mandated 12-angle canonical sweep without modifying upstream source (forbidden by the plan's ``do not hack around'' rule). Additional blockers: heavy deps (statsmodels, h5py, matplotlib, fastparquet, oiffile) not in this task's uv env, and adding them to shared pyproject.toml is out of scope for Milestone C. Headless demo never attempted because the structural 8-vs-12 mismatch means even a passing P2 cannot yield a valid P3 curve.",,,"P1 clone succeeded; P2 ``upstream demo runs headless and can emit 12-angle curve'' gate failed structurally (8-direction hardcode + heavy deps outside task env). Library asset never scaffolded per ``leave nothing broken behind''. Candidate deferred as a suggestion for a wrapper-port task that would re-seed dirs to 12 angles in a private fork."
polegpolsky_2026_ds_mechanisms,https://github.com/PolegPolskyLab/DS-mechanisms,Poleg-Polsky,2026,NEURON 8.2 + Python,"yes (no LICENSE, no Zenodo archive)",maybe,high,p2_failed,p2_demo,"Repo @ commit 6534bcd. No LICENSE file confirmed (blocker for library asset creation under the project's provenance rules). Upstream architecture is a genetic-algorithm training framework (``GA_NEURON.py`` 44 KB, ``main.py`` 22 KB) with ``numDir: 2`` hardcoded in global_params (only 2 directions by design — trains on preferred/null only, not a 12-angle sweep). Single GA generation with default numPop=10 takes minutes of compute; the published run uses numGen=300. The framework cannot emit a 12-angle tuning curve without substantially modifying upstream source (forbidden) or implementing a parallel non-GA driver that reuses just the HOC cell + MOD mechanisms (out of 90-min budget). MOD compile not attempted since structural mismatch makes P3 impossible.",,,"P1 clone succeeded; P2 ``upstream demo runs headless and emits 12-angle curve'' gate failed structurally (GA training architecture with numDir=2 hardcode) + provenance blocker (no LICENSE). Library asset never scaffolded per ``leave nothing broken behind''. Candidate deferred as a suggestion for a dedicated HOC-only repurposing task."
derosenroll_ei_balance,https://github.com/geoffder/ei-balance,deRosenroll,2025,NEURON + Python,yes,maybe,medium,not_attempted,,,,,Probable antecedent to ds-circuit-ei-microarchitecture; useful as a fallback if the 2026 repo fails to install. Not worth porting independently if deRosenroll 2026 port succeeds.
modeldb_267646_ly2022,https://modeldb.science/267646,Ly et al.,2022,NEURON,yes,unknown,medium,not_attempted,,,,,Whole-retina degeneration network including ON/OFF RGCs. Abstract does not claim direction selectivity but code inspection is needed to confirm no DSGC cell class is hidden in the network.
ankri_2022_rsme,https://github.com/NBELab/RSME,"Ankri, Fishman, Rivlin-Etzion",2022,NEURON + Python,yes,yes (for SAC; not DSGC),low,not_attempted,,,,,"Framework, not a DSGC model. Its SAC compartmental model is publishable but its DSGC is phenomenological — fails the inclusion bar as a standalone model. Keep as integration dependency for future work."
polegpolsky_ds_bipolar_inputs_sac,https://github.com/PolegPolskyLab/DS_Bipolar_Inputs_SAC,Poleg-Polsky,2023,NEURON + Python,yes,yes (for SAC),drop,not_attempted,,,,,SAC-only; no DSGC compartmental component. Out of scope for this task.
derosenroll_spatiotemporal_starburst,https://github.com/geoffder/spatiotemporal-starburst-model,deRosenroll,2022,NEURON + Python,yes,yes (for SAC),drop,not_attempted,,,,,SAC-only. Out of scope for this task.
jzlab_dsg_matlab,https://github.com/jzlab/dsg,JZ lab,2018,MATLAB (rate-coded),yes,yes (MATLAB),drop,not_attempted,,,,,Rate-coded Reichardt-style. Fails inclusion bar (no compartmental biophysics).
vivinetto_dsgc_velocity,https://github.com/vivinetto-lab/DSGC-Velocity-Project,Vivinetto lab,2022-2024,MATLAB (analysis only),yes,n/a,drop,not_attempted,,,,,"Analysis code for physiology, not a model. Out of scope."
kish_retinal_ganglion_cell,https://github.com/Kathleen-Kish/Retinal_Ganglion_Cell,K. Kish,2021,NEURON + Python,yes,unknown,drop,not_attempted,,,,,Generic RGC (no direction-selectivity claim). Likely a classroom project. Out of scope.
ankri_2020_sac,https://github.com/ankrilab/ankri_2020_SAC,Ankri et al.,2020,NEURON,yes,yes (for SAC),drop,not_attempted,,,,,SAC only. Out of scope.
modeldb_189347_polegpolsky2016,https://modeldb.science/189347,"Poleg-Polsky, Diamond",2016,NEURON,yes,yes,drop,not_attempted,,,,,"Already ported by t0008; canonical reference model, not a new candidate."
modeldb_223890_ding2016,https://modeldb.science/223890,Ding et al.,2016,NeuronC,yes,no,drop,not_attempted,,,,,NeuronC source; rewrite to NEURON is outside this task's automatic-port bar. Covered by recommendation 6 for a separate future task.
