condition,trial_seed,firing_rate_hz
PD,1,15.000000
ND,1,1.000000
PD,2,11.000000
ND,2,1.000000
PD,3,15.000000
ND,3,1.000000
PD,4,14.000000
ND,4,4.000000
PD,5,16.000000
ND,5,1.000000
PD,6,16.000000
ND,6,3.000000
PD,7,12.000000
ND,7,1.000000
PD,8,18.000000
ND,8,1.000000
PD,9,16.000000
ND,9,3.000000
PD,10,13.000000
ND,10,2.000000
PD,11,16.000000
ND,11,1.000000
PD,12,14.000000
ND,12,2.000000
PD,13,15.000000
ND,13,3.000000
PD,14,15.000000
ND,14,0.000000
PD,15,15.000000
ND,15,2.000000
PD,16,17.000000
ND,16,1.000000
PD,17,16.000000
ND,17,1.000000
PD,18,15.000000
ND,18,3.000000
PD,19,14.000000
ND,19,3.000000
PD,20,14.000000
ND,20,2.000000
