trial,direction_deg,spike_count,peak_mv
2000,0.0,5,37.486
12007,0.0,5,37.282
22014,0.0,4,36.554
32021,0.0,5,36.537
42028,0.0,5,38.059
52035,0.0,4,36.983
62042,0.0,3,37.257
72049,0.0,4,37.228
82056,0.0,5,35.942
92063,0.0,4,37.854
102070,0.0,6,37.054
112077,0.0,2,36.167
122084,0.0,5,37.149
132091,0.0,4,36.744
142098,0.0,5,37.480
152105,0.0,3,37.458
162112,0.0,6,37.083
172119,0.0,4,37.015
182126,0.0,5,37.343
192133,0.0,5,36.611
2585,45.0,6,36.272
12592,45.0,3,36.914
22599,45.0,4,36.439
32606,45.0,4,37.127
42613,45.0,3,36.700
52620,45.0,3,37.139
62627,45.0,3,37.314
72634,45.0,2,37.108
82641,45.0,2,36.586
92648,45.0,3,35.965
102655,45.0,4,36.812
112662,45.0,4,36.571
122669,45.0,3,38.217
132676,45.0,4,36.074
142683,45.0,4,36.831
152690,45.0,2,36.669
162697,45.0,2,37.114
172704,45.0,3,37.197
182711,45.0,3,36.630
192718,45.0,3,36.073
3170,90.0,1,35.242
13177,90.0,2,37.245
23184,90.0,2,35.486
33191,90.0,0,-46.976
43198,90.0,1,35.495
53205,90.0,3,36.602
63212,90.0,2,36.360
73219,90.0,2,36.570
83226,90.0,0,-49.441
93233,90.0,1,35.737
103240,90.0,1,34.750
113247,90.0,2,36.662
123254,90.0,1,35.787
133261,90.0,2,36.232
143268,90.0,0,-44.150
153275,90.0,3,37.079
163282,90.0,0,-48.406
173289,90.0,2,36.476
183296,90.0,0,-49.217
193303,90.0,2,34.851
3755,135.0,0,-53.781
13762,135.0,0,-47.674
23769,135.0,0,-54.291
33776,135.0,0,-53.480
43783,135.0,1,37.055
53790,135.0,1,36.696
63797,135.0,0,-48.499
73804,135.0,0,-48.533
83811,135.0,0,-46.561
93818,135.0,0,-48.560
103825,135.0,0,-50.084
113832,135.0,1,36.826
123839,135.0,0,-55.533
133846,135.0,1,36.301
143853,135.0,1,37.727
153860,135.0,0,-54.275
163867,135.0,0,-52.783
173874,135.0,0,-52.902
183881,135.0,0,-52.258
193888,135.0,0,-51.897
4340,180.0,0,-54.675
14347,180.0,0,-56.493
24354,180.0,1,35.101
34361,180.0,0,-52.544
44368,180.0,0,-53.327
54375,180.0,1,36.737
64382,180.0,0,-52.998
74389,180.0,1,36.737
84396,180.0,0,-52.173
94403,180.0,0,-53.445
104410,180.0,1,36.904
114417,180.0,0,-51.283
124424,180.0,0,-49.111
134431,180.0,1,36.003
144438,180.0,0,-44.885
154445,180.0,0,-47.700
164452,180.0,0,-49.455
174459,180.0,2,35.166
184466,180.0,1,37.663
194473,180.0,0,-52.713
4925,225.0,1,37.122
14932,225.0,0,-49.691
24939,225.0,0,-50.209
34946,225.0,1,34.898
44953,225.0,1,37.652
54960,225.0,1,37.680
64967,225.0,0,-49.654
74974,225.0,0,-54.741
84981,225.0,1,37.603
94988,225.0,0,-47.375
104995,225.0,1,35.711
115002,225.0,0,-51.950
125009,225.0,1,36.085
135016,225.0,0,-53.448
145023,225.0,0,-47.785
155030,225.0,0,-51.942
165037,225.0,0,-52.494
175044,225.0,0,-49.561
185051,225.0,1,34.896
195058,225.0,1,36.355
5510,270.0,2,37.445
15517,270.0,0,-45.926
25524,270.0,1,36.297
35531,270.0,2,35.679
45538,270.0,1,36.836
55545,270.0,1,36.872
65552,270.0,0,-49.099
75559,270.0,0,-47.524
85566,270.0,1,35.750
95573,270.0,0,-52.690
105580,270.0,1,35.158
115587,270.0,3,38.152
125594,270.0,1,35.893
135601,270.0,1,34.166
145608,270.0,1,35.919
155615,270.0,1,35.863
165622,270.0,0,-45.475
175629,270.0,1,33.881
185636,270.0,1,35.968
195643,270.0,1,35.444
6095,315.0,3,36.573
16102,315.0,3,37.953
26109,315.0,2,36.946
36116,315.0,3,37.412
46123,315.0,4,37.038
56130,315.0,4,36.758
66137,315.0,2,37.820
76144,315.0,2,37.524
86151,315.0,5,38.247
96158,315.0,4,38.314
106165,315.0,3,38.580
116172,315.0,4,37.397
126179,315.0,3,37.216
136186,315.0,3,37.473
146193,315.0,3,36.293
156200,315.0,2,37.519
166207,315.0,3,38.139
176214,315.0,2,37.366
186221,315.0,3,36.585
196228,315.0,4,36.796
