sweep,multiplier,effective_L_um,effective_d_um,lambda_um,L_over_lambda,dsi_primary,dsi_vector_sum,peak_hz,null_hz,spike_failure_flag
length,0.50,11.313073,0.503476,274.784030,0.041171,0.753846,0.506670,5.7000,0.8000,0
length,0.75,16.969610,0.503476,274.784030,0.061756,0.774194,0.455440,5.5000,0.7000,0
length,1.00,22.626147,0.503476,274.784030,0.082342,0.770492,0.449145,5.4000,0.7000,0
length,1.25,28.282684,0.503476,274.784030,0.102927,0.745455,0.419627,4.8000,0.7000,0
length,1.50,33.939220,0.503476,274.784030,0.123512,0.622642,0.417301,4.3000,1.0000,1
length,1.75,39.595757,0.503476,274.784030,0.144098,0.720000,0.408089,4.3000,0.7000,0
length,2.00,45.252294,0.503476,274.784030,0.164683,0.545455,0.357491,3.4000,1.0000,1
diameter,0.50,22.626147,0.251738,194.301651,0.116449,0.703704,0.462807,4.6000,0.8000,0
diameter,0.75,22.626147,0.377607,237.969950,0.095080,0.741935,0.443983,5.4000,0.8000,0
diameter,1.00,22.626147,0.503476,274.784030,0.082342,0.770492,0.449145,5.4000,0.7000,0
diameter,1.25,22.626147,0.629345,307.217885,0.073649,0.745455,0.443356,4.8000,0.7000,0
diameter,1.50,22.626147,0.755214,336.540331,0.067232,0.807692,0.418477,4.7000,0.5000,0
diameter,1.75,22.626147,0.881083,363.505104,0.062244,0.735849,0.424313,4.6000,0.7000,0
diameter,2.00,22.626147,1.006952,388.603302,0.058224,0.680000,0.417209,4.2000,0.8000,0
