channel,direction,b2gnmda_ns,n_trials,mean_summed_ns,std_summed_ns,paper_target_ns,diff_pct,verdict_within_25pct
NMDA,PD,0.0,4,0.0,0.0,7.0,-100.0,False
NMDA,PD,0.5,4,69.54854097779176,5.860256536930975,7.0,893.5505853970252,False
NMDA,PD,1.0,4,321.40441824135354,7.5434993130593,7.0,4491.491689162193,False
NMDA,PD,1.5,4,615.6001427843858,15.206292667493486,7.0,8694.287754062654,False
NMDA,PD,2.0,4,880.632511658485,14.022969617679035,7.0,12480.464452264072,False
NMDA,PD,2.5,4,1155.8978375194642,17.60431317592699,7.0,16412.82625027806,False
NMDA,PD,3.0,4,1419.9290372539676,19.67154499054538,7.0,20184.70053219954,False
NMDA,ND,0.0,4,0.0,0.0,5.0,-100.0,False
NMDA,ND,0.5,4,33.984166384081185,1.8256477029786746,5.0,579.6833276816237,False
NMDA,ND,1.0,4,172.71767402537756,8.987852552459591,5.0,3354.353480507551,False
NMDA,ND,1.5,4,462.49346779693667,11.64726426109725,5.0,9149.869355938734,False
NMDA,ND,2.0,4,737.9904549427712,18.023084940163383,5.0,14659.809098855425,False
NMDA,ND,2.5,4,1051.133905761285,11.63783531305317,5.0,20922.6781152257,False
NMDA,ND,3.0,4,1332.4642745785482,22.107351960928145,5.0,26549.285491570965,False
AMPA,PD,0.0,4,10.347948375707498,0.429423360544818,3.5,195.65566787735708,False
AMPA,PD,0.5,4,10.92059282250899,0.36566826396878505,3.5,212.01693778597112,False
AMPA,PD,1.0,4,11.07182141413793,0.24807009923827192,3.5,216.33775468965513,False
AMPA,PD,1.5,4,10.193096516078885,0.21906174332022657,3.5,191.2313290308253,False
AMPA,PD,2.0,4,10.394021896872866,0.5939861241032303,3.5,196.9720541963676,False
AMPA,PD,2.5,4,11.180479518863477,0.496701862834937,3.5,219.44227196752792,False
AMPA,PD,3.0,4,10.404160226916117,0.8563419511669329,3.5,197.2617207690319,False
AMPA,ND,0.0,4,10.585589709780962,0.3732752867855733,3.5,202.44542027945607,False
AMPA,ND,0.5,4,10.766959531584957,0.6040843969871741,3.5,207.62741518814164,False
AMPA,ND,1.0,4,11.035985374470973,0.3327840408103328,3.5,215.3138678420278,False
AMPA,ND,1.5,4,10.492610042717692,0.3993743399587267,3.5,199.7888583633626,False
AMPA,ND,2.0,4,10.361586287154136,0.5099856359768155,3.5,196.04532249011817,False
AMPA,ND,2.5,4,10.816323512556714,0.5354119377973154,3.5,209.03781464447752,False
AMPA,ND,3.0,4,10.846112248578166,0.5646641725995929,3.5,209.88892138794762,False
GABA,PD,0.0,4,108.94398621041547,4.511567818073987,12.5,771.5518896833238,False
GABA,PD,0.5,4,106.12524941021461,5.769660979695297,12.5,749.0019952817169,False
GABA,PD,1.0,4,106.99359545645635,5.25009512047335,12.5,755.9487636516508,False
GABA,PD,1.5,4,103.94549590219242,1.530371774849574,12.5,731.5639672175394,False
GABA,PD,2.0,4,104.31084959298809,1.4821433278634273,12.5,734.4867967439047,False
GABA,PD,2.5,4,103.63392785158781,3.031834873448553,12.5,729.0714228127025,False
GABA,PD,3.0,4,107.68445690549703,3.0971162200433766,12.5,761.4756552439762,False
GABA,ND,0.0,4,211.8692122124363,6.657786778007396,30.0,606.2307073747877,False
GABA,ND,0.5,4,215.5670519210836,2.720357294217989,30.0,618.5568397369453,False
GABA,ND,1.0,4,214.22686253165796,7.915019061396832,30.0,614.0895417721932,False
GABA,ND,1.5,4,214.16177683320538,4.535039103334152,30.0,613.872589444018,False
GABA,ND,2.0,4,215.28394569626954,1.2827735311155883,30.0,617.6131523208984,False
GABA,ND,2.5,4,212.81833299820235,3.163618534501745,30.0,609.3944433273412,False
GABA,ND,3.0,4,211.28836510950464,6.087729810211572,30.0,604.2945503650155,False
