direction,channel_on,trial_seed,b2gnmda_ns,peak_i_pa,baseline_i_pa,peak_i_minus_baseline_pa,clamp_v_sd_mv
PD,all,20000,0.5,-524.3418965969227,-124.59180404874813,524.3418965969227,0.00015889200115014147
PD,all,20001,0.5,-533.2706156394096,-126.00440263959456,533.2706156394096,0.00016159492855919122
PD,all,20002,0.5,-542.3262793003757,-126.42970632850138,542.3262793003757,0.0001580332959990134
PD,all,20003,0.5,-522.4912263610903,-126.9904102105457,522.4912263610903,0.00015879063909331152
PD,ampa_only,20100,0.5,-407.2021186278363,-120.28749371033598,407.2021186278363,0.00010455617219681828
PD,ampa_only,20101,0.5,-382.61863128099094,-121.85279923613734,382.61863128099094,0.00010401631265404393
PD,ampa_only,20102,0.5,-386.54254567518365,-122.8118166608283,386.54254567518365,0.00010690280620050916
PD,ampa_only,20103,0.5,-364.9983867889972,-119.26378465126675,364.9983867889972,0.00010491400710794727
PD,nmda_only,20200,0.5,-937.3682145450601,-126.72735690564707,937.3682145450601,0.0002850618893347693
PD,nmda_only,20201,0.5,-878.3147581224426,-126.2705998387759,878.3147581224426,0.0002866210417400257
PD,nmda_only,20202,0.5,-896.0046550307866,-129.11837575504848,896.0046550307866,0.0002832301595659956
PD,nmda_only,20203,0.5,-899.5595804790923,-129.93803107548274,899.5595804790923,0.0002837427228755806
PD,gaba_only,20300,0.5,-233.77311588713923,-109.79770383588772,233.77311588713923,6.175925964705166e-05
PD,gaba_only,20301,0.5,-238.29403240210212,-108.6554578198573,238.29403240210212,6.327264399605437e-05
PD,gaba_only,20302,0.5,-226.86715470026542,-110.67552166228012,226.86715470026542,6.160037157169155e-05
PD,gaba_only,20303,0.5,-250.41152796081434,-109.28764782800471,250.41152796081434,6.311139158171693e-05
ND,all,21000,0.5,-412.35954962314025,-117.02836127870597,412.35954962314025,0.00013653838563872623
ND,all,21001,0.5,-442.73675648540234,-119.27654217672058,442.73675648540234,0.00013817343374332173
ND,all,21002,0.5,-454.8034009692259,-117.60985719980967,454.8034009692259,0.00013801151183383
ND,all,21003,0.5,-435.03501113274723,-118.09681277373583,435.03501113274723,0.00013516156324035902
ND,ampa_only,21100,0.5,-377.40897039398646,-122.55505026800508,377.40897039398646,0.00010695419816932284
ND,ampa_only,21101,0.5,-389.63378134020843,-120.48229618095263,389.63378134020843,0.00010459001494016046
ND,ampa_only,21102,0.5,-378.48911459015255,-122.15242140278802,378.48911459015255,0.00010403236817294528
ND,ampa_only,21103,0.5,-359.2139217483137,-122.27845990420148,359.2139217483137,0.00010426905341484613
ND,nmda_only,21200,0.5,-892.2923552570339,-128.09725483339918,892.2923552570339,0.00028419283387962145
ND,nmda_only,21201,0.5,-881.5935996367941,-126.18320655366944,881.5935996367941,0.0002841168089027124
ND,nmda_only,21202,0.5,-883.3280844860881,-130.05078369378253,883.3280844860881,0.00028080338112004176
ND,nmda_only,21203,0.5,-908.205553040169,-122.1007528525675,908.205553040169,0.00028223828773479273
ND,gaba_only,21300,0.5,-248.43531856653556,-107.33323938573847,248.43531856653556,6.458949986143153e-05
ND,gaba_only,21301,0.5,-232.04470502758312,-107.55934491346153,232.04470502758312,6.393557860257383e-05
ND,gaba_only,21302,0.5,-233.23563566950867,-106.96771457869403,233.23563566950867,6.33256478102557e-05
ND,gaba_only,21303,0.5,-247.16493910165838,-106.34619917009758,247.16493910165838,6.434470017973253e-05
