channel,midline_kind,midline_x_um,count_total,count_side_a,count_side_b,count_ratio_side_a_over_b,mean_radial_distance_side_a_um,sd_radial_distance_side_a_um,mean_radial_distance_side_b_um,sd_radial_distance_side_b_um,mean_path_distance_side_a_um,sd_path_distance_side_a_um,mean_path_distance_side_b_um,sd_path_distance_side_b_um,total_length_side_a_um,total_length_side_b_um,density_side_a_per_um,density_side_b_per_um,verdict_symmetric
BIPsyn,soma_x,104.576,282,171,111,1.5405405405405406,64.18108119906464,24.460550270310254,49.47900345306062,23.416407655847372,131.39460690617815,46.40960003728204,106.89451849024451,47.132300041243354,2942.372807094683,1665.3765811894152,0.05811636091377776,0.06665159175033168,False
BIPsyn,zero,0.0,282,0,282,0.0,,,58.39409315010562,25.067812122072493,,,121.75095508288514,48.12930384738396,0.0,4607.749388284098,,0.06120124517123865,False
BIPsyn,bipsyn_locx_median,88.76950073242188,282,139,143,0.972027972027972,69.08447163774714,21.563388636567247,48.00274622855195,23.896076952982988,140.9459749102995,40.3778548541163,103.09285888700681,47.83550053839972,2311.3042004086683,2296.44518787543,0.06013920624356717,0.062270155958870206,True
SACexcsyn,soma_x,104.576,282,171,111,1.5405405405405406,64.18108119906464,24.460550270310254,49.47900345306062,23.416407655847372,131.39460690617815,46.40960003728204,106.89451849024451,47.132300041243354,2942.372807094683,1665.3765811894152,0.05811636091377776,0.06665159175033168,False
SACexcsyn,zero,0.0,282,0,282,0.0,,,58.39409315010562,25.067812122072493,,,121.75095508288514,48.12930384738396,0.0,4607.749388284098,,0.06120124517123865,False
SACexcsyn,bipsyn_locx_median,88.76950073242188,282,139,143,0.972027972027972,69.08447163774714,21.563388636567247,48.00274622855195,23.896076952982988,140.9459749102995,40.3778548541163,103.09285888700681,47.83550053839972,2311.3042004086683,2296.44518787543,0.06013920624356717,0.062270155958870206,True
SACinhibsyn,soma_x,104.576,282,171,111,1.5405405405405406,64.18108119906464,24.460550270310254,49.47900345306062,23.416407655847372,131.39460690617815,46.40960003728204,106.89451849024451,47.132300041243354,2942.372807094683,1665.3765811894152,0.05811636091377776,0.06665159175033168,False
SACinhibsyn,zero,0.0,282,0,282,0.0,,,58.39409315010562,25.067812122072493,,,121.75095508288514,48.12930384738396,0.0,4607.749388284098,,0.06120124517123865,False
SACinhibsyn,bipsyn_locx_median,88.76950073242188,282,139,143,0.972027972027972,69.08447163774714,21.563388636567247,48.00274622855195,23.896076952982988,140.9459749102995,40.3778548541163,103.09285888700681,47.83550053839972,2311.3042004086683,2296.44518787543,0.06013920624356717,0.062270155958870206,True
